Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Postcode,Latitude,Longitude
Elmstead CC,@ElmsteadCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,635,1/3/2022,1/3/2022,,CO7 7AA,,
Stowmarket CC,@stowmarketcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,"1,480",30/3/2022,30/3/2022,,IP14 1SZ,,
Mildenhall CC,@MildenhallCrick,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,"1,647",9/5/2022,,,IP28 7JU,,
Little Hallingbury CC,@HallingburyCC,UK,Essex,Herts & Essex Border League,"2,022",13/5/2022,,,CM22 7QT,,
Westcliff-on-Sea CC,@WoScricket,UK,Essex,Hamro Foundation Essex League,664,16/5/2022,,,SS0 8NB,,
Dunmow CC,@DunmowCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,776,16/5/2022,,,CM6 3AT,,
Thorley CC,@thorley_cc,UK,Hertfordshire / Essex,Herts & Essex Border League,727,16/5/2022,,,CM23 4BH,,
Takeley CC,@TakeleyCC,UK,Hertfordshire,Herts & Essex Border League,479,16/5/2022,,,CM22 6SB,,
Stansted Hall and Elsenham CC,@SHandECricket,UK,Essex,Herts & Essex Border League,172,16/5/2022,,,CM24 8ST,,
Bishop's Stortford CC,@bishcricket,UK,Hertfordshire,Herts & Essex Border League,"1,538",25/5/2022,,,CM23 2TD,,
Braughing CC,@BraughingCC,UK,Hertfordshire,Herts & Essex Border League… Herts league… Essex league,471,14/6/2022,,,SG11 2QL,,
Stanford le hope CC,@1887slhcc,UK,Essex,Hamro Foundation League,120,23/6/2022,,,SS17 0ED,,
Coggeshall Town CC,@CoggyTownCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,"1,302",23/6/2022,,,CO6 1RQ,,
Tuddenham CC,@tuddcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,505,23/6/2022,,,IP28 6SB,,
Cloghams CC,@cloghamscc,UK,Essex,Herts & Essex Border League,218,23/6/2022,,,CM6 1WG,,
Chappel & Wakes Colne CC,@WeAreCWCCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,403,23/6/2022,,,CO6 2BE,,
Brightlingsea CC,@Bseacc,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,695,23/6/2022,,,CO7 0NN,,
West Mersea CC,@WMerseaCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,667,23/6/2022,,,CO5 8RS,,
Felixstowe and Corinthians CC,@CCFelixstowe,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,890,23/6/2022,,,IP11 9HT,,
East Bergholt CC,@EastBergholtCC,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,583,23/6/2022,,,CO7 6TP,,
Coton CC,@ClubCoton,UK,Cambridgeshire,Marshall Hatchick Two Counties Cricket Championship,27,23/6/2022,,,CB23 7PX,,
