Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Postcode,Latitude,Longitude
Center,,,,,,,,,,51.88819,0.25837
Elmstead CC,@ElmsteadCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,635,1/3/2022,1/3/2022,,CO7 7AA,51.88047,0.99622
Stowmarket CC,@stowmarketcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,1480,30/3/2022,30/3/2022,,IP14 1SZ,51.88047,0.99622
Mildenhall CC,@MildenhallCrick,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,1647,9/5/2022,,,IP28 7JU,51.88047,0.99622
Little Hallingbury CC,@HallingburyCC,UK,Essex,Herts & Essex Border League,2022,13/5/2022,,,CM22 7QT,51.88047,0.99622
Westcliff-on-Sea CC,@WoScricket,UK,Essex,Hamro Foundation Essex League,664,16/5/2022,,,SS0 8NB,51.88047,0.99622
Dunmow CC,@DunmowCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship,776,16/5/2022,,,CM6 3AT,51.88047,0.99622
Thorley CC,@thorley_cc,UK,Hertfordshire / Essex,Herts & Essex Border League,727,16/5/2022,,,CM23 4BH,51.88047,0.99622
Takeley CC,@TakeleyCC,UK,Hertfordshire,Herts & Essex Border League,479,16/5/2022,,,CM22 6SB,51.88047,0.99622
Stansted Hall and Elsenham CC,@SHandECricket,UK,Essex,Herts & Essex Border League,172,16/5/2022,,,CM24 8ST,51.88047,0.99622
Bishop's Stortford CC,@bishcricket,UK,Hertfordshire,Herts & Essex Border League,1538,25/5/2022,,,CM23 2TD,51.88047,0.99622
Braughing CC,@BraughingCC,UK,Hertfordshire,Herts & Essex Border League… Herts league… Essex league,471,14/6/2022,,,SG11 2QL,51.88047,0.99622
Stanford le hope CC,@1887slhcc,UK,Essex,Hamro Foundation League,120,23/6/2022,,,SS17 0ED,51.88047,0.99622
Coggeshall Town CC,@CoggyTownCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,1302,23/6/2022,,,CO6 1RQ,51.88047,0.99622
Tuddenham CC,@tuddcc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,505,23/6/2022,,,IP28 6SB,51.88047,0.99622
Cloghams CC,@cloghamscc,UK,Essex,Herts & Essex Border League,218,23/6/2022,,,CM6 1WG,51.88047,0.99622
Chappel & Wakes Colne CC,@WeAreCWCCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,403,23/6/2022,,,CO6 2BE,51.88047,0.99622
Brightlingsea CC,@Bseacc,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,695,23/6/2022,,,CO7 0NN,51.88047,0.99622
West Mersea CC,@WMerseaCC,UK,Essex,Marshall Hatchick Two Counties Cricket Championship… North Essex Cricket League,667,23/6/2022,,,CO5 8RS,51.88047,0.99622
Felixstowe and Corinthians CC,@CCFelixstowe,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,890,23/6/2022,,,IP11 9HT,51.88047,0.99622
East Bergholt CC,@EastBergholtCC,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,583,23/6/2022,,,CO7 6TP,51.88047,0.99622
Coton CC,@ClubCoton,UK,Cambridgeshire,Marshall Hatchick Two Counties Cricket Championship,27,23/6/2022,,,CB23 7PX,51.88047,0.99622
