Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Stamfordham CC,@StamfordhamCC,UK,Northumberland,West Tyne Div 1,837,2/17/2022,2/17/2022,,,,,,Started on 17th Feb with 974 members on the list
Wilmslow CC,@WilmslowCC,UK,Cheshire,UK Fast Cheshire Cricket League,1707,2/17/2022,2/17/2022,,,,,,All clubs listed here have tweeted at least once since 1/1/21
East Kilbride CC,@ekcricket,UK,Scotland,Western District Cricket Union,1554,2/17/2022,2/17/2022,,,,,,"some sort of designation (additional list?) needed for ""social"" or ""friendly"" teams"
Knowle & Dorridge CC,@KandDCC,UK,,@BDPCL_official,2385,2/17/2022,2/17/2022,,,,,,"worth noting (when going back through) any self-proclaimed ""picturesque"" etc grounds?"
Ashford CC,@AshfordCricket,UK,Middlesex,,1239,2/17/2022,2/17/2022,,,,,,
Sandbach CC,@sandbachcc,UK,,NSSCL(?),1418,2/17/2022,2/17/2022,,,,,,"tried Google May 26th to see flights between Prague and UK in next six months… may not be definitive, but an indiciation… they said:"
Loughton CC,@LoughtonCC,UK,Essex,,2328,2/17/2022,2/17/2022,,IG10 1NQ,51.65146,0.06197,,"Glasgow, Edinburgh, Newcastle, Manchester, Birmingham, Bristol, London (Gatwick, Stansted, Heathrow, Luton), Leeds, Dublin... and East Midlands and Belfast? (not clear on those two)"
Copmanthorpe CC,@copmanthorpecc,UK,Somerset,YDSCL,617,2/17/2022,2/17/2022,,,,,,looks like only Brno route is from Stansted
Winshill CC,@WinshillCC1,UK,,DCCL,2671,2/17/2022,2/17/2022,,,,,,
Abingdon Vale CC,@AbingdonValeCC,UK,Oxfordshire,Cherwell League,2185,2/17/2022,2/17/2022,,OX14 3HP,51.66589,-1.27908,,
,@WiltsCricket,UK,Wiltshire,,4194,2/18/2022,2/18/2022,,,,,,
Broadstairs CC,@BroadstairsCC,UK,Kent,,2123,2/18/2022,2/18/2022,,,,,,
Maldon CC,@MaldonCC,UK,Essex,EAPL... T Rippon Mid Essex Cricket League… Marshall Hatchick Two Counties Cricket Championship… Warsop Sunday League,2976,2/18/2022,2/18/2022,yes,CM9 4QT,51.74038,0.70391,,
Twycross CC,@TwycrossCC,UK,Leicestershire,L&RCL,700,2/18/2022,2/18/2022,,CV9 3HA,52.64185,-1.50735,,
Harborne CC,@HarborneCC,UK,Birmingham,@BDPCL_official / @ASLcricket,2407,2/18/2022,2/18/2022,,,,,,
Westquarter CC,@WestquarterCC,UK,Scotland,ESCA Cricket League,595,2/18/2022,2/18/2022,,,,,,
Stalybridge CC,@StalybridgeCC,UK,Derbyshire / Cheshire,,989,2/18/2022,2/18/2022,,,,,,
Haslingden CC,@HaslingdenCC,UK,Lancashire,,3800,2/18/2022,2/18/2022,,,,,,
Didcot CC,@didcotcc,UK,Oxfordshire,Cherwell League,2266,2/18/2022,2/18/2022,,OX11 6EY,51.60595,-1.27113,,
Callander CC,@CallanderCC,UK,Scotland,SPCU,1497,2/18/2022,2/28/2022,,,,,,
,@CFVCricket,UK,Scotland,,682,2/18/2022,,yes,,,,,
Hartshead Moor CC,@HartsheadMoorCC,UK,Yorkshire,Bradford Premier League… Mid Yorkshire Sunday Cricket League,816,2/18/2022,2/18/2022,,BD19 6LW,53.71655,-1.74248,,
Gedling Colliery CC,@GedlingCCC,UK,Nottinghamshire,EMWCL… South Notts League… NCCA,974,2/18/2022,2/18/2022,,NG3 5RH,52.98975,-1.11026,,
The Star CC Bath,@thestarcc,UK,Somerset,,313,2/18/2022,2/18/2022,,,,,,
Timperley CC,@Timperley_CC,UK,Cheshire,Cheshire County Cricket League,1614,2/18/2022,2/18/2022,,,,,,
Bromsgrove CC,@BoarsCricket,UK,,,2298,2/18/2022,2/18/2022,,,,,,
Ammanford CC,@AmmanfordCC,UK,South Wales,SWPCL,1931,2/18/2022,2/18/2022,,,,,,
Cobham CC,@Cobhamcc1850,UK,Kent,,1146,2/18/2022,2/18/2022,,,,,,
Southowram CC,@SouthowramCC,UK,Yorkshire,HCL,1169,2/18/2022,2/18/2022,,HX3 9TR,53.70516,-1.82085,,
Sway CC,@SwayCC,UK,Hampshire,Hants CL,2308,2/18/2022,2/18/2022,,,,,,
Todmorden CC,@TodmordenCC,UK,Lancashire,JW Lees League,3175,2/18/2022,2/18/2022,,,,,,
Gowerton CC,@GowertonCricket,UK,,,1217,2/21/2022,2/21/2022,,,,,,
Spen Victoria CB&AC,@SpenVictoriacc,UK,Yorkshire,Bradford Premier League… Mid Yorkshire Sunday Cricket League,935,2/21/2022,2/21/2022,,BD19 4PJ,53.72846,-1.69812,,
Clifton Alliance CC,@cacccricket,UK,Yorkshire,ECB Yorkshire Premier North,1868,2/21/2022,2/21/2022,,,,,,
Gresford CC,@gresfordcricket,UK,North Wales,,3238,2/21/2022,2/21/2022,,,,,,
Clontarf CC,@ClontarfCC,Ireland,Dublin,,2125,2/21/2022,2/21/2022,,,,,,
Chatsworth CC,@Chatsworth_CC,UK,Derbyshire,,153,2/21/2022,2/28/2022,,,,,,
Barwell CC,@BarwellCC,UK,Leicestershire,L&RCL,2403,2/21/2022,2/21/2022,,LE9 8FQ,52.57154,-1.3438,,
La Manga Torrevieja CC,@lmtccspain,Spain,,ECCL,2147,2/21/2022,2/21/2022,yes,,,,,
Andoversford CC,@AndoversfordCC,UK,Gloucestershire,"Cheltenham, Forest and Gloucester Premier League",402,2/21/2022,2/21/2022,,,,,,
Malden Wanderers CC,@MaldenWndrsCC,UK,,,1152,2/21/2022,2/21/2022,,,,,,
Belvoir CC,@BelvoirCC,UK,Nottinghamshire,South Notts League… Burrough Evening League… GMCA,1084,2/21/2022,2/21/2022,,NG32 1RE,52.87785,-0.77118,,
Preston Nomads CC,@PrestonNomads,UK,Sussex,Sussex Premier League,2394,2/21/2022,2/21/2022,,,,,,
Ashton on Mersey CC,@aomcc,UK,Lancashire,,2450,2/21/2022,2/21/2022,,,,,,
Belmont CC,@BelmontCC,UK,Durham,North East Durham Cricket League,2983,2/21/2022,2/21/2022,,,,,,
Methley CC,@MethleyCC,UK,Yorkshire,Bradford Premier League,1843,2/21/2022,2/21/2022,,LS26 9EF,53.7365,-1.40943,,
Newquay CC,@NewquayCC,UK,Cornwall,Cornwall County League,2469,2/21/2022,2/21/2022,,,,,,
Whitley Hall CC,@WhitleyHallCC,UK,Yorkshire,YCSPL,1945,2/21/2022,2/21/2022,,S35 9WH,53.44168,-1.48278,,
Glossop CC,@GlossopCC,UK,Lancashire,,2367,2/21/2022,2/21/2022,,,,,,
Low Moor Holy Trinity CC,@LowMoorHTCC,UK,Yorkshire,HCL,815,2/21/2022,2/21/2022,,BD12 0QB,53.75678,-1.75247,,
Buxworth CC,@BuxworthCC,UK,,,558,2/21/2022,2/28/2022,,,,,,
Charlesworth & Chisworth CC,@Charlesworth_CC,UK,Derbyshire / Cheshire,Derbyshire & Cheshire Cricket League,794,2/21/2022,2/21/2022,,,,,,
Horwich RMI Cricket,@HORWICHRMI,UK,,,1876,2/21/2022,2/21/2022,,,,,,
